id,fecha,autor,rating,texto,canal,categoria_problema,subcategoria,sentimiento,impacto,menciona_tienda_fisica
16,2024-03-25,Fernando C.,1,"Llevo 6 semanas esperando una respuesta sobre mi devolución. He ido a la tienda, he llamado, he escrito emails... nada. El dinero sigue sin aparecer en mi cuenta.","Google Maps","Devoluciones","Reembolso tardío","Negativo","Reputación, Fidelización",Sí
17,2024-04-01,Laura P.,4,"Muy buena experiencia en tienda. El personal conoce bien los productos y da buenos consejos. La única pega es que la tienda es algo pequeña y se pone muy llena los fines de semana.","Google Maps","Experiencia en Tienda","Espacio y aforo","Positivo","Fidelización",Sí
18,2024-04-05,Marcos O.,1,"Me vendieron un artículo de segunda calidad como si fuera de primera. La costura ya se está deshaciendo después de solo 3 usos. Marca muy sobrevalorada.","Google Maps","Calidad de Producto","Durabilidad","Negativo","Reputación, Ventas",Sí
19,2024-04-10,Patricia N.,5,"Acabo de recibir mi pedido y estoy enamorada. La sudadera es super suave, el diseño es muy original y llegó perfectamente embalada. Repetiré seguro.","Google Maps","Experiencia Positiva","Calidad y packaging","Positivo","Ventas, Fidelización",No
20,2024-04-15,Álvaro G.,2,"La tienda tiene muy buena pinta pero el personal parecía más pendiente del móvil que de los clientes. Tuve que llamar varias veces para que me atendieran.","Google Maps","Experiencia en Tienda","Actitud del personal","Negativo","Reputación, Fidelización",Sí
21,2024-04-20,Cristina L.,1,"Pedido equivocado, atención al cliente nula, y encima me piden que pague el envío de la devolución. Esto no puede ser. Nunca más compraré en Scuffers.","Google Maps","Atención al Cliente","Resolución de problemas","Negativo","Reputación, Fidelización",No
22,2024-04-25,Hugo S.,3,"Productos muy bonitos y originales, pero el proceso de compra online es engorroso y la web va lenta. Mejorad la experiencia digital.","Google Maps","Experiencia Digital","Web y app","Neutro","Ventas",No
23,2024-05-02,Valentina M.,1,"Llevo más de un mes sin recibir mi pedido. El tracking no se actualiza desde hace 3 semanas. Nadie responde mis mensajes. Esto es un robo.","Google Maps","Envíos y Logística","Tracking inexistente","Negativo","Reputación, Ventas",No
24,2024-05-08,Daniel R.,5,"Fui a la tienda de Fuencarral por primera vez y fue una experiencia increíble. Los dependientes son super pasionados de la marca y se nota. Compré 3 prendas y todas perfectas.","Google Maps","Experiencia Positiva","Atención presencial","Positivo","Ventas, Fidelización",Sí
25,2024-05-12,Marta C.,2,"El producto es bonito pero tardó 18 días en llegar cuando prometían 5-7 días. Sin comunicación sobre el retraso. Me enteré del problema solo porque yo pregunté.","Google Maps","Envíos y Logística","Retraso sin aviso","Negativo","Fidelización",No
26,2024-05-18,Raúl F.,4,"Gran calidad en los materiales y diseño muy trabajado. La tienda online podría mejorar en cuanto a descripción de tallas, me quedó algo grande el jersey.","Google Maps","Calidad de Producto","Tallas y ajuste","Positivo","Ventas",No
27,2024-05-22,Beatriz H.,1,"Experiencia horrible. Compré online, recibí el artículo equivocado, y la tienda física me dijo que no podían gestionar cambios de pedidos online. ¿Cómo puede ser que no estén coordinados?","Google Maps","Atención al Cliente","Coordinación online-offline","Negativo","Reputación, Fidelización",Sí
28,2024-06-01,Jorge A.,1,"Tres emails enviados, dos mensajes por Instagram, cero respuestas. Un mes esperando solución a un pedido incompleto. Inaceptable para una marca que se vende como premium.","Google Maps","Atención al Cliente","Canales de comunicación","Negativo","Reputación",No
29,2024-06-05,Silvia T.,5,"Compré para mi novio como regalo y quedó encantado. La sudadera es preciosa y la calidad es excelente. El envío llegó en 2 días y el packaging es un detalle muy bonito. 5 estrellas merecidas.","Google Maps","Experiencia Positiva","Regalo y packaging","Positivo","Ventas, Fidelización",No
30,2024-06-10,Iñigo B.,2,"La tienda física es monísima pero me sentí agobiado por los dependientes que te siguen por toda la tienda. Un poco de espacio para mirar con calma, por favor.","Google Maps","Experiencia en Tienda","Atención excesiva","Negativo","Fidelización",Sí
31,2024-06-15,Rocío M.,1,"La ropa encoge después del primer lavado a pesar de seguir las instrucciones de la etiqueta. Reclamé y me dijeron que era un mal uso. Mentira. Muy mala calidad para el precio que cobran.","Google Maps","Calidad de Producto","Calidad tras lavado","Negativo","Reputación, Ventas",No
32,2024-06-20,Eduardo C.,3,"Atención en tienda correcta pero nada especial. Los precios son altos para lo que ofrecen. Hay marcas similares con mejor relación calidad-precio. No repetiré pronto.","Google Maps","Precio","Relación calidad-precio","Neutro","Ventas, Fidelización",Sí
33,2024-06-25,Nuria V.,5,"Me encanta Scuffers. Llevo comprando 2 años y siempre cumplen. Esta vez compré en la tienda de Fuencarral y el personal fue excepcional, muy atentos y con buen conocimiento de los productos.","Google Maps","Experiencia Positiva","Fidelidad de cliente","Positivo","Fidelización",Sí
34,2024-07-02,Adrián S.,1,"Me prometieron que un producto fuera de stock llegaría en 2 semanas. Pasado ese tiempo, sin noticias. Tres semanas más tarde, cancelaron el pedido sin avisar y tardaron 15 días en devolverme el dinero.","Google Maps","Envíos y Logística","Stock y cancelaciones","Negativo","Reputación, Ventas",No
35,2024-07-08,Pilar G.,4,"Buena experiencia general. Productos de calidad y diseño diferente a lo que hay en el mercado. La entrega fue puntual. Solo mejoraría la información de tallas en la web.","Google Maps","Experiencia Positiva","Calidad y entrega","Positivo","Ventas",No
36,2024-07-12,Tomás R.,1,"Atención al cliente horrible. Ni contestan emails ni tienen teléfono. Tuve que ir físicamente a la tienda para resolver un problema de un pedido online y aun así tardaron una semana más.","Google Maps","Atención al Cliente","Resolución de problemas","Negativo","Reputación, Fidelización",Sí
37,2024-07-18,Elena B.,2,"El producto está bien pero la experiencia de compra fue frustrante. La web se cayó dos veces mientras intentaba finalizar el pedido. Cuando al fin pude completarlo, el precio había cambiado.","Google Maps","Experiencia Digital","Fallos técnicos web","Negativo","Ventas",No
38,2024-07-22,Álvaro P.,5,"Compré unas zapatillas edición especial y son una pasada. El material es de primerísima calidad y el diseño muy cuidado. Llegaron antes de lo esperado. Muy contento.","Google Maps","Experiencia Positiva","Producto premium","Positivo","Ventas",No
39,2024-07-28,Marina F.,1,"Devolución pesadilla. Pagué 12 euros de portes para devolver, esperé 30 días para el reembolso y cuando llegó faltaba el coste del envío original. Tuve que pelear para conseguir todo mi dinero.","Google Maps","Devoluciones","Reembolso incompleto","Negativo","Reputación, Fidelización",No
40,2024-08-02,Gonzalo H.,3,"El producto es correcto pero la experiencia en tienda fue mediocre. Mucha cola para pagar, poco personal y la música demasiado alta. Cosas a mejorar.","Google Maps","Experiencia en Tienda","Tiempo de espera","Neutro","Fidelización",Sí
41,2024-08-08,Lorena D.,1,"Compré una camiseta que se decoloró completamente en el primer lavado. Cuando reclamé me pidieron mil pruebas: fotos, tickets, descripción del lavado... y al final me ofrecieron solo un vale de 10€. Es una tomadura de pelo.","Google Maps","Calidad de Producto","Colores y materiales","Negativo","Reputación, Ventas",No
42,2024-08-14,Víctor M.,4,"Muy buena calidad de los productos. La chaqueta que compré es espectacular. El envío tardó 7 días, que es aceptable. La atención al cliente cuando tuve una duda fue correcta y rápida.","Google Maps","Experiencia Positiva","Servicio y producto","Positivo","Fidelización",No
43,2024-08-20,Claudia A.,1,"En la tienda me dijeron que el producto que quería estaba disponible online. Fui a pedirlo online y estaba agotado. Volví a la tienda y me dijeron que el sistema no se actualiza en tiempo real. ¿Cómo puede ser eso en 2024?","Google Maps","Experiencia en Tienda","Stock y disponibilidad","Negativo","Ventas",Sí
44,2024-08-25,Sergio N.,2,"Tardé 25 minutos en ser atendido en la tienda de Fuencarral. Había mucha gente y solo dos personas trabajando. Los productos son buenos pero la experiencia me quitó las ganas de volver.","Google Maps","Experiencia en Tienda","Tiempo de espera","Negativo","Fidelización",Sí
45,2024-09-03,Teresa J.,5,"Me sorprendió muy gratamente. Compré online y llegó en 48 horas. La calidad es excelente y el diseño muy especial. El embalaje también es muy cuidado. Ya he recomendado la marca a mis amigos.","Google Maps","Experiencia Positiva","Entrega rápida","Positivo","Fidelización, Ventas",No
46,2024-09-10,Óscar B.,1,"Servicio de atención al cliente inexistente. He enviado 8 emails en 5 semanas y solo he recibido respuestas automáticas. Mi problema sigue sin resolverse. Nunca más.","Google Maps","Atención al Cliente","Respuestas automáticas","Negativo","Reputación, Fidelización",No
47,2024-09-15,Inés C.,3,"Los productos son bonitos pero caros. La experiencia en tienda fue normal, ni buena ni mala. El personal estaba algo distante. Esperaba más de una marca con tanta presencia en redes.","Google Maps","Experiencia en Tienda","Actitud del personal","Neutro","Ventas, Fidelización",Sí
48,2024-09-20,Rubén T.,1,"Compré un par de zapatillas que empezaron a deteriorarse a las pocas semanas. La suela se está despegando y el cuero está cuarteado. Para el precio que cuestan, es inaceptable.","Google Maps","Calidad de Producto","Durabilidad","Negativo","Reputación, Ventas",No
49,2024-09-25,Alejandra V.,4,"Muy buena marca en general. Los productos son únicos y de calidad. Fui a la tienda por primera vez y el ambiente es muy chulo. Solo mejoraría la señalización interior, cuesta encontrar los productos por categoría.","Google Maps","Experiencia en Tienda","Distribución del espacio","Positivo","Ventas",Sí
50,2024-10-01,Manuel R.,1,"Pedido incompleto, sin respuesta, sin devolución. 45 días después sigo sin mi dinero ni mis productos. He tenido que recurrir a mi banco para iniciar un contracargo. Vergonzoso.","Google Maps","Envíos y Logística","Pedidos incompletos","Negativo","Reputación",No
51,2024-10-07,Blanca F.,5,"Fantástica experiencia. Los dependientes de Fuencarral son muy profesionales y me ayudaron a elegir el regalo perfecto para mi marido. Salí encantada y con varias cosillas para mí también. Os tendré en cuenta siempre.","Google Maps","Experiencia Positiva","Atención presencial","Positivo","Ventas, Fidelización",Sí
52,2024-10-12,Nicolás A.,2,"La web es muy lenta y en móvil prácticamente no funciona. Intenté hacer una compra tres veces y al final lo hice desde el ordenador. Mejorad urgentemente la experiencia móvil.","Google Maps","Experiencia Digital","Optimización móvil","Negativo","Ventas",No
53,2024-10-18,Clara P.,1,"Tardé más de 6 semanas en recibir un reembolso por una devolución. Cada vez que preguntaba me daban una fecha distinta. Pésima organización interna.","Google Maps","Devoluciones","Reembolso tardío","Negativo","Reputación, Fidelización",No
54,2024-10-24,Santiago M.,4,"Compré tres artículos y todos llegaron perfectos. La calidad es muy buena. El envío tardó 6 días, que es lo que prometían. Repetiré sin duda.","Google Maps","Experiencia Positiva","Cumplimiento de plazos","Positivo","Fidelización",No
55,2024-11-02,Mariola B.,1,"El personal de la tienda me trató con condescendencia cuando le pregunté sobre las tallas. Me hizo sentir como si fuera una molestia. Producto muy bueno, pero personal nefasto.","Google Maps","Experiencia en Tienda","Actitud del personal","Negativo","Reputación, Fidelización",Sí
56,2024-11-08,Esteban C.,3,"Compré online y tardó 10 días en llegar. La calidad es decente pero esperaba algo más por el precio. El servicio de atención al cliente respondió en 3 días, que tampoco está mal.","Google Maps","Envíos y Logística","Tiempo de entrega","Neutro","Ventas",No
57,2024-11-14,Yolanda H.,5,"Llevaba tiempo queriendo comprar en Scuffers y por fin lo hice. La sudadera es increíble, suave, buen acabado y el diseño es muy especial. El envío llegó antes de tiempo. Totalmente recomendable.","Google Maps","Experiencia Positiva","Calidad del producto","Positivo","Ventas",No
58,2024-11-20,Emilio R.,1,"La tienda online y la física parecen dos empresas distintas. En tienda me dijeron que las devoluciones son gratuitas. Online cobran 12€. Cuando reclamé, me dijeron que la tienda estaba equivocada. ¿Con quién quedo mejor?","Google Maps","Devoluciones","Inconsistencia de políticas","Negativo","Reputación, Fidelización",Sí
59,2024-11-26,Rosa V.,2,"Me encantaron los productos pero el proceso de devolución fue una pesadilla. Formulario confuso, sin confirmación de recepción y tardaron más de un mes en devolverme el dinero.","Google Maps","Devoluciones","Proceso de devolución","Negativo","Fidelización",No
60,2024-12-03,Arturo N.,1,"Llevo 2 meses intentando resolver un problema con un pedido duplicado. Me cobraron dos veces y solo me han devuelto uno de los cargos. Tengo todas las pruebas pero siguen sin responder.","Google Maps","Atención al Cliente","Cobros incorrectos","Negativo","Reputación",No
61,2024-12-09,Susana L.,5,"Regalo de Navidad perfecto. Compré en la tienda de Fuencarral y el personal me ayudó a elegir el talle correcto con mucha paciencia. El regalo fue un éxito total. Gracias!","Google Maps","Experiencia Positiva","Atención presencial","Positivo","Ventas, Fidelización",Sí
62,2024-12-15,Héctor T.,2,"No recomendaría comprar en Black Friday. El pedido tardó el triple de lo normal y el tracking estuvo sin actualizar 10 días. Entiendo que hay más volumen pero deberían gestionarlo mejor.","Google Maps","Envíos y Logística","Gestión de picos de demanda","Negativo","Fidelización",No
63,2024-12-20,Lola G.,1,"Compré como regalo de Navidad y no llegó a tiempo a pesar de encargarme con semanas de antelación. Tuve que dar el regalo vacío con una nota. Qué vergüenza de servicio.","Google Maps","Envíos y Logística","Plazos festivos","Negativo","Reputación, Ventas",No
64,2024-12-27,Ramón F.,4,"Excelente calidad en todos sus productos. Las zapatillas son cómodas y muy resistentes. La atención en tienda impecable. Solo le quito una estrella por los precios, que son altos.","Google Maps","Experiencia Positiva","Calidad y atención","Positivo","Fidelización",Sí
65,2025-01-05,Amelia C.,1,"Primera y última compra. Recibí un artículo con una mancha evidente. Al contactar con atención al cliente tardaron 2 semanas en responder y me pidieron mil fotos. Luego silencio total.","Google Maps","Calidad de Producto","Producto defectuoso","Negativo","Reputación, Fidelización",No
66,2025-01-12,Ignacio M.,3,"La tienda está bien surtida y el personal es amable. Los precios son algo altos pero la calidad lo justifica en parte. La app móvil necesita mejoras urgentes.","Google Maps","Experiencia en Tienda","General","Neutro","Ventas",Sí
67,2025-01-18,Celia V.,1,"Vergüenza de atención al cliente. Enviaron mi pedido a una dirección equivocada (error suyo), y para que me lo reenviaran me pidieron que pagara el nuevo envío. El audaz que me atendió fue maleducado.","Google Maps","Atención al Cliente","Error y actitud","Negativo","Reputación, Fidelización",No
68,2025-01-25,Borja P.,5,"Compré en rebajas de enero y la experiencia fue perfecta. Buenos descuentos, producto de calidad y entrega en 3 días. Muy contento con la marca. Seguiré comprando.","Google Maps","Experiencia Positiva","Rebajas y entrega","Positivo","Ventas, Fidelización",No
69,2025-02-03,Verónica S.,2,"El servicio de atención al cliente mejoró pero sigue siendo lento. Tardaron 5 días en responder a un email simple. Para una marca de este nivel, debería ser mucho más rápido.","Google Maps","Atención al Cliente","Tiempo de respuesta","Negativo","Fidelización",No
70,2025-02-10,Rodrigo A.,1,"Me vendieron en tienda que el jersey era de lana merino. Al llegar a casa vi que era poliéster. Fui a reclamar y me dijeron que el dependiente se confundió, pero que no podían hacer nada. Mentira y nula responsabilidad.","Google Maps","Calidad de Producto","Información incorrecta","Negativo","Reputación, Ventas",Sí
71,2025-02-17,Florencia M.,4,"Gran experiencia. Atención rápida, producto excelente y el ambiente de la tienda es muy especial. La única mejora sería ampliar la tienda o abrir más puntos de venta en Madrid.","Google Maps","Experiencia Positiva","Tienda y expansión","Positivo","Fidelización",Sí
72,2025-02-24,Sebastián H.,1,"Tres devoluciones en el limbo. Sin confirmación de recepción, sin reembolso y sin respuesta. He perdido más de 150 euros. Voy a tener que ir a organismos de consumidores.","Google Maps","Devoluciones","Reembolso tardío","Negativo","Reputación",No
73,2025-03-03,Miriam R.,5,"Llevo siendo cliente fiel 3 años y Scuffers nunca me decepciona. La calidad es consistente y el diseño siempre innovador. La tienda de Fuencarral es mi tienda favorita de Madrid.","Google Maps","Experiencia Positiva","Fidelidad","Positivo","Fidelización",Sí
74,2025-03-10,Alfredo V.,2,"Buen producto pero pésima logística. Mi pedido fue enviado dos veces a la misma dirección incorrecta antes de llegar. Sin disculpas ni compensación por las molestias.","Google Maps","Envíos y Logística","Dirección incorrecta","Negativo","Fidelización",No
75,2025-03-17,Dolores P.,1,"La tienda física me dijo que podían reservar un producto. Pagué la reserva y cuando fui a recogerlo me dijeron que lo habían vendido a otra persona. Me devolvieron el dinero pero sin ninguna compensación por mis molestias.","Google Maps","Experiencia en Tienda","Gestión de reservas","Negativo","Reputación, Fidelización",Sí
76,2025-03-24,Ernesto C.,3,"Los productos son buenos, pero la comunicación de la marca es confusa. Las redes dicen una cosa, la web otra y en tienda te cuentan algo diferente. Necesitan unificar su mensaje.","Google Maps","Atención al Cliente","Comunicación inconsistente","Neutro","Reputación",Sí
77,2025-04-01,Patricia L.,4,"Me gustó mucho la experiencia en tienda. Personal atento sin ser agobiante, buena selección de productos y ambiente muy cuidado. El único pero es el tiempo de espera en caja.","Google Maps","Experiencia en Tienda","General positivo","Positivo","Fidelización",Sí
78,2025-04-08,Guillermo M.,1,"Tres meses para resolver un problema simple. Encima me piden que espere más. Esto no es atención al cliente, es maltrato al cliente. Denunciaré ante la OMIC.","Google Maps","Atención al Cliente","Resolución de problemas","Negativo","Reputación",No
79,2025-04-15,Amparo B.,5,"Primera compra y totalmente satisfecha. El jersey es precioso, la tela muy suave y el diseño único. El envío fue rapidísimo. Ya sé dónde compraré mis próximos regalos.","Google Maps","Experiencia Positiva","Primera compra positiva","Positivo","Ventas, Fidelización",No
80,2025-04-22,César F.,2,"La tienda podría mejorar la iluminación, algunos productos se ven mejor online que en persona por la luz. También falta más personal en horas punta.","Google Maps","Experiencia en Tienda","Condiciones físicas","Negativo","Ventas",Sí
81,2025-04-28,Rebeca N.,1,"No envían confirmación de pedido, el tracking no funciona y cuando preguntas no sabes nada hasta que el paquete (si llega) aparece en la puerta. En 2025 esto es inadmisible.","Google Maps","Envíos y Logística","Comunicación de envío","Negativo","Fidelización",No
82,2025-05-05,Joaquín R.,4,"Excelente relación calidad precio comparado con otras marcas premium. El personal de la tienda es muy profesional y conocedor del producto. Sin duda volvería.","Google Maps","Experiencia Positiva","Valor y atención","Positivo","Ventas, Fidelización",Sí
83,2025-05-08,Gemma A.,1,"La peor experiencia de compra online que he tenido. Pedido perdido, sin respuesta, tuve que abrir disputa con Paypal para recuperar mi dinero. Evitad esta marca.","Google Maps","Envíos y Logística","Pedido perdido","Negativo","Reputación",No
84,2024-03-28,Xavi P.,2,"El producto llegó en buen estado pero el embalaje estaba destrozado. Parece que lo lanzaron literalmente. El artículo sobrevivió de milagro. Mejorad el packaging de envío.","Google Maps","Envíos y Logística","Estado del embalaje","Negativo","Fidelización",No
85,2024-06-30,Laia M.,1,"En la tienda me dijeron que podía cambiar el artículo sin problema si no me convencía en casa. Cuando fui a cambiarlo, me dijeron que necesitaba el ticket digital que no me habían dado. Mentiras del personal.","Google Maps","Experiencia en Tienda","Información incorrecta del personal","Negativo","Reputación, Fidelización",Sí
86,2024-08-05,Ferran C.,5,"Marca española de calidad que merece todo el apoyo. Los productos son únicos, bien hechos y con identidad propia. La tienda de Fuencarral tiene muy buen rollo. Comprad sin miedo.","Google Maps","Experiencia Positiva","Apoyo marca española","Positivo","Reputación, Ventas",Sí
87,2024-09-08,Núria B.,3,"Los productos son originales y de calidad aceptable. El precio es algo elevado para lo que ofrecen. El proceso de compra online podría ser más sencillo.","Google Maps","Precio","Relación calidad-precio","Neutro","Ventas",No
88,2024-11-05,Pau V.,1,"Tardaron 3 meses en enviarme un pedido. Cuando llegó, faltaba uno de los artículos. Para reclamar el artículo faltante, me piden que demuestre que no llegó. ¿Cómo demuestras que algo NO está? Kafkiano.","Google Maps","Envíos y Logística","Pedidos incompletos","Negativo","Reputación, Ventas",No
89,2025-01-30,Júlia M.,4,"Muy buena experiencia en conjunto. Ropa de calidad, bien empaquetada y con un detalle personalizado dentro. El tiempo de envío fue correcto. Seguiré siendo clienta.","Google Maps","Experiencia Positiva","Detalle y calidad","Positivo","Fidelización",No
90,2025-03-28,Albert F.,1,"Compré en la tienda física y me cobraron el precio incorrecto (más caro que el etiquetado). Cuando reclamé en caja me dijeron que era un error del sistema y que no podían hacer nada. Tuve que llamar al gerente. Al final me devolvieron la diferencia pero con mucha hostilidad.","Google Maps","Experiencia en Tienda","Cobros incorrectos","Negativo","Reputación, Fidelización",Sí
91,2024-02-28,Andrea C.,5,"Llevo comprando en Scuffers desde el principio y siempre superan las expectativas. Los productos cada temporada son mejores y el equipo de Fuencarral siempre recuerda mis preferencias. Eso sí es atención al cliente.","Google Maps","Experiencia Positiva","Fidelidad y personalización","Positivo","Fidelización",Sí
92,2024-07-15,Jordi S.,2,"Tienda muy saturada los sábados. Tardé 30 minutos en que me atendieran y otros 20 en caja. Para comprar dos artículos perdí casi una hora. Necesitan más personal urgentemente.","Google Maps","Experiencia en Tienda","Tiempo de espera","Negativo","Fidelización",Sí
93,2024-10-30,Manel P.,1,"Me enviaron un artículo con una talla claramente diferente a la que pedí. La diferencia era visible incluso en el etiquetado. Mes y medio después, siguen sin resolver el error.","Google Maps","Envíos y Logística","Error en pedido","Negativo","Reputación, Ventas",No
94,2025-02-05,Montse R.,4,"Muy satisfecha con mi compra. La chaqueta es de excelente calidad y el diseño es muy especial. El proceso de compra online fue fácil y el envío puntual. Recomendable.","Google Maps","Experiencia Positiva","Compra online positiva","Positivo","Ventas",No
95,2025-04-10,Carles B.,1,"El sistema de puntos de fidelidad no funciona correctamente. Llevo meses sin poder canjear mis puntos y cada vez que pregunto me dan una respuesta diferente. Siento que me engañan.","Google Maps","Atención al Cliente","Programa de fidelización","Negativo","Fidelización",Sí
96,2024-05-28,Mireia F.,5,"Pasé por la tienda de casualidad y me enamoré de sus productos. El personal me contó la historia de la marca con mucha pasión. Me compré tres cosas y salí encantada. Volvería sin duda.","Google Maps","Experiencia Positiva","Storytelling de marca","Positivo","Ventas, Fidelización",Sí
97,2024-08-18,David G.,3,"Producto correcto, nada especial para el precio que cobran. La experiencia en tienda fue rápida pero impersonal. Me sentí como un número más. Marcas similares dan mejor trato.","Google Maps","Experiencia en Tienda","Personalización","Neutro","Fidelización",Sí
98,2025-03-15,Sara M.,1,"La peor experiencia postventa de mi vida. Producto defectuoso, sin respuesta durante 6 semanas, y cuando respondieron me pidieron que probara el defecto de nuevo como si no les hubiera mandado fotos ya. Inconcebible.","Google Maps","Calidad de Producto","Gestión de defectos","Negativo","Reputación, Fidelización",No
99,2024-09-30,Pau C.,4,"Muy buen producto y diseño diferenciador. La tienda tiene muy buen ambiente y el personal es majo. El precio está algo ajustado pero la calidad lo compensa. Volvería.","Google Maps","Experiencia Positiva","Producto y ambiente","Positivo","Ventas, Fidelización",Sí
100,2025-05-01,Irene V.,1,"Nunca más. Compra perdida, dinero perdido, meses de emails sin respuesta. Han arruinado lo que podría ser una gran marca. La atención al cliente es su gran talón de Aquiles.","Google Maps","Atención al Cliente","Resolución de problemas","Negativo","Reputación, Fidelización",No
